time,x1,x2,x3,x4,x5,x6,x7,x8
9.246231155778895427e+00,2.705346473663205464e-01,5.182090323603002480e-01,5.182090323603002480e-01,4.215813983226258665e-01,6.462642018892931217e-01,6.462642018892931217e-01,1.261009114011596433e+00,8.395447068805126367e-01
9.346733668341709489e+00,2.529268656462140830e-01,5.046271719824689805e-01,5.046271719824689805e-01,3.823101965462048502e-01,6.226554823521738280e-01,6.226554823521738280e-01,1.481387694998895999e+00,7.524574549246069166e-01
9.447236180904523550e+00,2.380537560750786152e-01,4.920607567174250518e-01,4.920607567174250518e-01,3.485781735041277307e-01,6.006684882331568831e-01,6.006684882331568831e-01,1.747287280963659706e+00,6.793517901536197945e-01
9.547738693467337612e+00,2.257731272320838423e-01,4.804221258707003783e-01,4.804221258707003783e-01,3.196902139854025382e-01,5.802313006816938179e-01,5.802313006816938179e-01,2.067836736402381970e+00,6.187798963169608424e-01
9.648241206030151673e+00,2.160150744499823861e-01,4.696452420577904574e-01,4.696452420577904574e-01,2.950784342918980063e-01,5.612632609079637458e-01,5.612632609079637458e-01,2.453938937354680494e+00,5.696279273009309252e-01
9.748743718592965735e+00,2.087914215127733841e-01,4.596832093649727002e-01,4.596832093649727002e-01,2.742897675096427346e-01,5.436821579920511072e-01,5.436821579920511072e-01,2.918546546378779194e+00,5.311298859930507765e-01
9.849246231155779796e+00,2.042133036673284552e-01,4.505073269175545181e-01,4.505073269175545181e-01,2.569770395413247255e-01,5.274091972396940387e-01,5.274091972396940387e-01,3.476940236710061249e+00,5.029096116445035403e-01
9.949748743718593857e+00,2.025208358555202481e-01,4.421077408040937629e-01,4.421077408040937629e-01,2.428945234609173331e-01,5.123725798463695247e-01,5.123725798463695247e-01,4.146972514205799598e+00,4.850660647076060483e-01
1.005025125628140792e+01,2.041317260134375977e-01,4.344960254080019735e-01,4.344960254080019735e-01,2.318990969784675005e-01,4.985103200711645255e-01,4.985103200711645255e-01,4.949203936536126669e+00,4.783293848461988018e-01
1.015075376884422198e+01,2.097206477240542988e-01,4.277104156018982084e-01,4.277104156018982084e-01,2.239587602635244035e-01,4.857728397680330379e-01,4.857728397680330379e-01,5.906790085677066315e+00,4.843378853353619840e-01
1.025125628140703604e+01,2.203500638891567054e-01,4.218250380631438090e-01,4.218250380631438090e-01,2.191713589568857479e-01,4.741258528622984691e-01,4.741258528622984691e-01,7.044847096670300068e+00,5.061302749982252713e-01
1.035175879396985010e+01,2.376891542339907848e-01,4.169656378227253879e-01,4.169656378227253879e-01,2.177982366459272900e-01,4.635541340906166874e-01,4.635541340906166874e-01,8.388767906220804704e+00,5.490340426480049274e-01
1.045226130653266416e+01,2.643867996207063253e-01,4.133363938091148548e-01,4.133363938091148548e-01,2.203207031573430064e-01,4.540669622880080802e-01,4.540669622880080802e-01,9.960449407180814063e+00,6.223077596910980835e-01
1.055276381909547823e+01,3.047159737580070749e-01,4.112664275536486724e-01,4.112664275536486724e-01,2.275323909261036670e-01,4.457064347361260337e-01,4.457064347361260337e-01,1.177037044100860008e+01,7.422500633302827611e-01
1.065326633165829229e+01,3.656903766312448734e-01,4.112923713860034414e-01,4.112923713860034414e-01,2.406888963927113767e-01,4.385605628887275786e-01,4.385605628887275786e-01,1.380146075204793199e+01,9.381784430619795057e-01
1.075376884422110635e+01,4.589548185088499488e-01,4.143084108997630022e-01,4.143084108997630022e-01,2.617484687722995140e-01,4.327843159963554176e-01,4.327843159963554176e-01,1.597711123101717590e+01,1.263851090027721558e+00
1.085427135678392041e+01,6.037073361379073910e-01,4.218426321600733386e-01,4.218426321600733386e-01,2.937513536777023315e-01,4.286338357813224142e-01,4.286338357813224142e-01,1.810124490839294609e+01,1.817886538132039043e+00
1.095477386934673447e+01,8.299973519189512983e-01,4.365594068309009979e-01,4.365594068309009979e-01,3.413832942086921785e-01,4.265219991902006735e-01,4.265219991902006735e-01,1.976300343606233056e+01,2.772218900512540607e+00
1.105527638190954853e+01,1.177814962470307814e+00,4.631052162940900718e-01,4.631052162940900718e-01,4.116807809311723854e-01,4.271059573925782282e-01,4.271059573925782282e-01,2.025655306367665176e+01,4.376431171349093319e+00
1.115577889447236259e+01,1.678452061761152692e+00,5.092257148813720269e-01,5.092257148813720269e-01,5.144670264535535775e-01,4.314119690168720100e-01,4.314119690168720100e-01,1.875961722634956175e+01,6.817049625346632169e+00
1.125628140703517666e+01,2.305387821997319620e+00,5.862487230188877518e-01,5.862487230188877518e-01,6.612444317164510865e-01,4.409683763256792566e-01,4.409683763256792566e-01,1.511331766790699049e+01,9.813951732488273905e+00
1.135678391959799072e+01,2.934106044156992166e+00,7.064981951246944725e-01,7.064981951246944725e-01,8.608063842529740661e-01,4.578286762906836893e-01,4.578286762906836893e-01,1.052669607457163004e+01,1.242435367918487366e+01
1.145728643216080478e+01,3.392156825017421884e+00,8.748205296145988852e-01,8.748205296145988852e-01,1.112528673788202749e+00,4.842737948397112802e-01,4.842737948397112802e-01,6.620827026863480569e+00,1.379553974095297697e+01
1.155778894472361884e+01,3.562814391475568332e+00,1.075251006785387320e+00,1.075251006785387320e+00,1.402306333325483045e+00,5.220560663549007607e-01,5.220560663549007607e-01,4.019600925572452077e+00,1.388502440938440330e+01
1.165829145728643290e+01,3.438432711750749160e+00,1.264506724993899933e+00,1.264506724993899933e+00,1.704057158544294071e+00,5.714004975023442290e-01,5.714004975023442290e-01,2.485858937334691543e+00,1.314427888183818993e+01
1.175879396984924696e+01,3.107255688252050341e+00,1.390796495151786161e+00,1.390796495151786161e+00,1.985251493533860323e+00,6.304607703276141617e-01,6.304607703276141617e-01,1.613870316978429864e+00,1.201080173521469874e+01
1.185929648241206102e+01,2.691988374652046989e+00,1.428870447807637500e+00,1.428870447807637500e+00,2.214164670522432043e+00,6.957687106621226469e-01,6.957687106621226469e-01,1.113453844092061829e+00,1.075627933445771234e+01
1.195979899497487509e+01,2.286033165750996687e+00,1.391413745968633320e+00,1.391413745968633320e+00,2.366756360382535895e+00,7.630961752611290505e-01,7.630961752611290505e-01,8.181190246173103420e-01,9.520790178378280899e+00
1.206030150753768915e+01,1.933255854302002419e+00,1.309345231463800330e+00,1.309345231463800330e+00,2.431261636443319940e+00,8.278902082959096465e-01,8.278902082959096465e-01,6.383939916749435950e-01,8.368415736959544660e+00
1.216080402010050321e+01,1.642518227292148802e+00,1.210530579936180517e+00,1.210530579936180517e+00,2.409415877752526303e+00,8.855062178254043959e-01,8.855062178254043959e-01,5.264489171101025544e-01,7.323883468597318647e+00
1.226130653266331727e+01,1.407105373706738716e+00,1.112303472887822720e+00,1.112303472887822720e+00,2.314279002080997127e+00,9.317853386183755360e-01,9.317853386183755360e-01,4.562302238312995750e-01,6.392455157528608822e+00
1.236180904522613133e+01,1.216341277725516479e+00,1.022924981790538146e+00,1.022924981790538146e+00,2.165666828588117099e+00,9.638698157125080712e-01,9.638698157125080712e-01,4.131774600972661360e-01,5.570114289953820297e+00
1.246231155778894539e+01,1.060314507346971302e+00,9.450843186184578748e-01,9.450843186184578748e-01,1.984971289455126353e+00,9.807495614533945361e-01,9.807495614533945361e-01,3.889712872183358483e-01,4.848718177949403518e+00
1.256281407035175945e+01,9.311317233912391744e-01,8.786508164593804793e-01,8.786508164593804793e-01,1.791091111795843904e+00,9.832330093064108878e-01,9.832330093064108878e-01,3.788157152344705514e-01,4.218603395381198773e+00
1.266331658291457352e+01,8.228632126515154077e-01,8.223211328598807324e-01,8.223211328598807324e-01,1.598313016123188657e+00,9.734363525831855046e-01,9.734363525831855046e-01,3.800002920820181873e-01,3.669896797183344717e+00
